subclasse,municipio,saldomovimentacao,competenciamov
8121400,431440,1,202601
8121400,431440,-1,202601
3811400,431440,1,202601
3811400,431440,1,202601
3811400,431440,-1,202601
8020001,431440,-1,202601
8129000,431440,-1,202601
8111700,431440,1,202601
3811400,431440,1,202601
8111700,431440,-1,202601
8130300,431440,-1,202601
8111700,431440,1,202601
8111700,431440,1,202601
3811400,431440,1,202601
3811400,431440,1,202601
3811400,431440,-1,202601
8111700,431440,1,202601
3811400,431440,1,202601
8020001,431440,1,202601
8130300,431440,-1,202601
8130300,431440,1,202601
8111700,431440,-1,202601
8130300,431440,-1,202601
8130300,431440,1,202601
8111700,431440,1,202601
8130300,431440,-1,202601
8111700,431440,-1,202601
8111700,431440,1,202601
8130300,431440,-1,202601
8130300,431440,1,202601
8130300,431440,-1,202601
8020001,431440,-1,202601
8111700,431440,-1,202601
3811400,431440,1,202601
8111700,431440,-1,202601
8111700,431440,1,202601
8111700,431440,-1,202601
8122200,431440,1,202601
8111700,431440,-1,202601
8111700,431440,-1,202601
8111700,431440,-1,202601
3811400,431440,1,202601
8111700,431440,1,202602
3811400,431440,-1,202602
8111700,431440,1,202602
8129000,431440,-1,202602
8111700,431440,-1,202602
8129000,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8020001,431440,1,202602
8111700,431440,1,202602
3811400,431440,1,202602
8111700,431440,-1,202602
8121400,431440,-1,202602
8130300,431440,1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8121400,431440,-1,202602
3811400,431440,-1,202602
8129000,431440,1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8130300,431440,1,202602
8130300,431440,1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8130300,431440,1,202602
3811400,431440,-1,202602
8020001,431440,-1,202602
8130300,431440,1,202602
8020001,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8111700,431440,1,202602
8111700,431440,1,202602
8130300,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8130300,431440,1,202602
3811400,431440,-1,202602
8020001,431440,1,202602
8111700,431440,1,202602
3811400,431440,1,202602
8111700,431440,1,202602
8121400,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8020001,431440,-1,202602
3812200,431440,-1,202602
8130300,431440,1,202602
8129000,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
3811400,431440,-1,202602
8130300,431440,1,202602
8121400,431440,1,202602
8020001,431440,-1,202602
8111700,431440,1,202602
8121400,431440,-1,202602
8111700,431440,1,202602
8130300,431440,1,202602
8111700,431440,1,202602
8111700,431440,1,202602
8130300,431440,-1,202602
3811400,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,1,202602
8130300,431440,-1,202602
8129000,431440,-1,202602
8111700,431440,1,202602
8130300,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
3811400,431440,-1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
3811400,431440,-1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
3811400,431440,1,202602
8111700,431440,-1,202602
8130300,431440,1,202602
8111700,431440,1,202602
8130300,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8130300,431440,-1,202602
3811400,431440,-1,202602
8130300,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,1,202602
8130300,431440,1,202602
8111700,431440,1,202602
3811400,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8020001,431440,-1,202602
8111700,431440,1,202602
8121400,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
3811400,431440,-1,202602
8129000,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8020001,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,-1,202602
8111700,431440,1,202602
8130300,431440,1,202602
8111700,431440,-1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8130300,431440,1,202602
8130300,431440,1,202602
8111700,431440,1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
8111700,431440,-1,202602
3811400,431440,-1,202602
8111700,431440,-1,202602
8130300,431440,1,202602
