cnae_2.0_subclasse,municipio,vinculo_ativo_31_12
8121400,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8111700,431690,1
8020001,431690,1
8111700,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8111700,431690,1
8129000,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8111700,431690,1
8020001,431690,1
8130300,431690,1
8020001,431690,1
8020001,431690,1
8111700,431690,1
8020001,431690,1
8020001,431690,1
8121400,431690,1
8121400,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8121400,431690,1
8121400,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8130300,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8111700,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8121400,431690,1
8111700,431690,1
8129000,431690,1
8129000,431690,1
8111700,431690,1
8129000,431690,1
8129000,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8121400,431690,1
8122200,431690,1
8122200,431690,1
8121400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8121400,431690,1
8121400,431690,1
8020001,431690,1
8020001,431690,1
8020001,431690,1
8121400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
3811400,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
8111700,431690,1
3811400,431690,1
8111700,431690,1
9700500,431690,1
8121400,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
8129000,431690,1
